"study","user_group","n_diagnostic_trials","initial_accuracy","final_accuracy","accuracy_gain","agreement_fraction","switching_fraction","appropriate_reliance_diagnostic","over_reliance_rate","under_reliance_rate","reliance_sensitivity"
"main_exp","accuracy",5.62666666666667,0.473333333333333,0.568,0.0946666666666666,0.684,0.442730158730159,0.468412698412698,0.138920634920635,0.392666666666667,-0.00577777777777777
"main_exp","analogy",5.73417721518987,0.420253164556962,0.494936708860759,0.0746835443037975,0.650632911392405,0.408981314044605,0.385232067510549,0.140310427968656,0.474457504520796,-0.178541289933695
"follow_up_study","loan_analogy",6.6555023923445,0.445773524720893,0.541866028708134,0.0960925039872408,0.629984051036683,0.33342861285445,0.399562093940084,0.0806656793498899,0.519772226710026,-0.0333523201944254
"main_exp","system",5.24657534246575,0.463013698630137,0.550684931506849,0.0876712328767123,0.702739726027397,0.435975212002609,0.442846270928463,0.136420961078495,0.420732767993042,-0.0901826484018265
