session_id,sid,class,prob1,prob2,condition
P01_C1,1,1,0.9914451989064375,0.008554801093562518,1
P01_C2,2,1,0.7257728090392414,0.27422719096075865,2
P02_C1,3,1,0.9980002249097565,0.001999775090243431,1
P02_C2,4,1,0.8180756012162476,0.1819243987837524,2
P03_C1,5,1,0.8257997447105003,0.17420025528949967,1
P03_C2,6,2,0.01786248160960953,0.9821375183903904,2
P04_C1,7,1,0.9962000368656653,0.0037999631343348314,1
P04_C2,8,1,0.5816421024386519,0.4183578975613482,2
P05_C1,9,1,0.9940595036153436,0.005940496384656421,1
P05_C2,10,1,0.9577577616542943,0.04224223834570573,2
P06_C1,11,1,0.9786546277309419,0.02134537226905807,1
P06_C2,12,1,0.9061369711822752,0.09386302881772485,2
P07_C1,13,2,0.15729434481543486,0.8427056551845651,1
P07_C2,14,1,0.6853503511312337,0.31464964886876623,2
P08_C1,15,1,0.9963908428156627,0.003609157184337311,1
P08_C2,16,2,0.08337650266451313,0.9166234973354869,2
P09_C1,17,1,0.9473451174820665,0.052654882517933384,1
P09_C2,18,1,0.9256351323353581,0.0743648676646418,2
P10_C1,19,1,0.9996388422643322,3.611577356677953e-4,1
P10_C2,20,1,0.992464182342106,0.0075358176578940094,2
P11_C1,21,1,0.9998508844474151,1.4911555258491463e-4,1
P11_C2,22,2,0.4421045843414131,0.5578954156585868,2
P12_C1,23,1,0.9995990780153422,4.009219846578386e-4,1
P12_C2,24,2,0.24527376692717826,0.7547262330728218,2
P13_C1,25,1,0.9935956208062764,0.006404379193723611,1
P13_C2,26,1,0.8748666608139571,0.12513333918604286,2
P14_C1,27,1,0.9729935186782047,0.027006481321795204,1
P14_C2,28,1,0.6519779647656625,0.34802203523433756,2
P15_C1,29,1,0.9966290532403014,0.0033709467596985698,1
P15_C2,30,1,0.800791313849937,0.19920868615006299,2
P16_C1,31,1,0.9926254740101456,0.007374525989854515,1
P16_C2,32,1,0.9922874415013698,0.007712558498630285,2
P17_C1,33,1,0.9935538079523795,0.006446192047620523,1
P17_C2,34,1,0.9997764768195406,2.2352318045947144e-4,2
P18_C1,35,1,0.9999392416081403,6.075839185960835e-5,1
P18_C2,36,1,0.617297743954057,0.3827022560459429,2
P19_C1,37,1,0.9982776977226164,0.0017223022773835259,1
P19_C2,38,2,0.1475977074136963,0.8524022925863036,2
P20_C1,39,1,0.994053154349954,0.005946845650045946,1
P20_C2,40,2,0.08629030789673106,0.9137096921032689,2
P21_C1,41,1,0.9830228302942227,0.0169771697057774,1
P21_C2,42,1,0.8461505702721964,0.15384942972780358,2
P22_C1,43,1,0.9991842800964122,8.15719903587633e-4,1
P22_C2,44,2,0.23582826868423515,0.764171731315765,2
P23_C1,45,1,0.9891502300243281,0.01084976997567195,1
P23_C2,46,1,0.9940595036153436,0.005940496384656421,2
P24_C1,47,1,0.9680887034990083,0.03191129650099162,1
P24_C2,48,1,0.9896353536203524,0.010364646379647674,2
P25_C1,49,1,0.9998428034908359,1.5719650916411684e-4,1
P25_C2,50,1,0.7313785373671488,0.26862146263285125,2
P26_C1,51,1,0.9310994695911109,0.06890053040888909,1
P26_C2,52,1,0.9666290829801193,0.03337091701988069,2
P27_C1,53,1,0.9872435233671154,0.012756476632884645,1
P27_C2,54,1,0.9606742440800472,0.03932575591995276,2
P28_C1,55,1,0.9994903996425711,5.096003574288527e-4,1
P28_C2,56,1,0.9164236806810696,0.08357631931893038,2
P29_C1,57,1,0.9963395111849994,0.003660488815000568,1
P29_C2,58,1,0.9598424037121746,0.04015759628782544,2
P30_C1,59,1,0.998061119545798,0.0019388804542019725,1
P30_C2,60,1,0.9945581149416364,0.005441885058363524,2
P31_C1,61,1,0.9873257453794689,0.012674254620531086,1
P31_C2,62,1,0.5429545987572355,0.45704540124276444,2
P32_C1,63,1,0.9811591725622376,0.018840827437762376,1
P32_C2,64,1,0.8282048647606531,0.17179513523934684,2
P33_C1,65,1,0.9909856990189466,0.009014300981053424,1
P33_C2,66,1,0.6769654776702816,0.3230345223297185,2
P34_C1,67,1,0.9891617569178163,0.010838243082183703,1
P34_C2,68,1,0.9592314342430548,0.0407685657569452,2
P35_C1,69,1,0.9989871922356723,0.0010128077643277215,1
P35_C2,70,1,0.9558924868067822,0.044107513193217825,2
P36_C1,71,1,0.9405303208373078,0.05946967916269222,1
P36_C2,72,1,0.9984817228516251,0.001518277148374815,2
P37_C1,73,1,0.9999731107113936,2.6889288606431647e-5,1
P37_C2,74,2,0.002251223706623924,0.997748776293376,2
P38_C1,75,1,0.8765264770012402,0.12347352299875979,1
P38_C2,76,1,0.974155156432014,0.025844843567986015,2
P39_C1,77,1,0.975607683738645,0.02439231626135501,1
P39_C2,78,2,0.032558558653123924,0.9674414413468762,2
P40_C1,79,1,0.9996336886760939,3.6631132390601754e-4,1
P40_C2,80,2,0.10791643295530945,0.8920835670446906,2
P41_C1,81,1,0.9995778105349266,4.2218946507334117e-4,1
P41_C2,82,1,0.9997986498423801,2.0135015761979535e-4,2
P42_C1,83,1,0.9879695448653054,0.012030455134694631,1
P42_C2,84,1,0.9909173354027978,0.009082664597202215,2
P43_C1,85,1,0.9965774345202295,0.0034225654797704476,1
P43_C2,86,1,0.9698716318525833,0.030128368147416727,2
P44_C1,87,1,0.9676479114788162,0.03235208852118373,1
P44_C2,88,1,0.9086989051182466,0.09130109488175338,2
P45_C1,89,1,0.9792606774233219,0.020739322576678047,1
P45_C2,90,1,0.9745363046143967,0.025463695385603228,2
P46_C1,91,1,0.9945225513691618,0.005477448630838295,1
P46_C2,92,1,0.8067114817462319,0.19328851825376803,2
P47_C1,93,1,0.9988238884079214,0.0011761115920786457,1
P47_C2,94,1,0.9759679391525261,0.024032060847473884,2
P48_C1,95,1,0.9900779118271148,0.009922088172885124,1
P48_C2,96,1,0.7835975345341893,0.21640246546581066,2
P49_C1,97,1,0.9964738843416144,0.0035261156583855182,1
P49_C2,98,2,0.1838858873901029,0.8161141126098972,2
P50_C1,99,1,0.7597444091851673,0.24025559081483275,1
P50_C2,100,1,0.9957787350852615,0.004221264914738479,2
