session_id,participant_id,c2_class,c2_posterior
P10_C2,10,1,1
P11_C2,11,3,0.9998
P12_C2,12,2,1
P13_C2,13,3,1
P14_C2,14,2,1
P15_C2,15,3,0.9133
P16_C2,16,4,1
P17_C2,17,1,1
P18_C2,18,2,1
P19_C2,19,2,1
P01_C2,1,2,0.9994
P20_C2,20,2,1
P21_C2,21,4,0.9998
P22_C2,22,2,1
P23_C2,23,5,1
P24_C2,24,5,1
P25_C2,25,1,1
P26_C2,26,1,1
P27_C2,27,4,1
P28_C2,28,4,0.9933
P29_C2,29,4,1
P02_C2,2,2,1
P30_C2,30,1,1
P31_C2,31,2,1
P32_C2,32,2,1
P33_C2,33,4,1
P34_C2,34,4,1
P35_C2,35,3,1
P36_C2,36,1,1
P37_C2,37,2,1
P38_C2,38,3,1
P39_C2,39,2,1
P03_C2,3,2,1
P40_C2,40,2,1
P41_C2,41,1,1
P42_C2,42,3,1
P43_C2,43,1,1
P44_C2,44,1,1
P45_C2,45,4,1
P46_C2,46,3,1
P47_C2,47,4,1
P48_C2,48,4,0.9962
P49_C2,49,2,1
P04_C2,4,2,1
P50_C2,50,1,1
P05_C2,5,3,1
P06_C2,6,3,1
P07_C2,7,2,1
P08_C2,8,2,1
P09_C2,9,3,1
