session_id,participant_id,condition,condition_label,trial_num,phase,followed_ai,ai_accurate,trial_correct,initial_correct,switched_to_ai,switched_from_ai,stayed_with_own,stayed_with_ai,ai_helped,ai_hurt,selfconf,aiconf,multiPV,feedback1,feedback2
P10_C2,10,2,Low_to_High,15,pre_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.5,1,-5,5
P10_C2,10,2,Low_to_High,16,pre_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.5,7,5,5
P10_C2,10,2,Low_to_High,17,pre_switch,1,0,0,1,1,0,0,0,0,1,0.25,0.25,7,5,-5
P10_C2,10,2,Low_to_High,18,pre_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.5,7,5,5
P10_C2,10,2,Low_to_High,19,pre_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P10_C2,10,2,Low_to_High,20,pre_switch,0,0,1,1,0,0,1,0,0,0,0.5,0.5,7,5,5
P10_C2,10,2,Low_to_High,21,post_switch,0,1,1,1,0,0,1,0,0,0,0.5,0.5,1,5,5
P10_C2,10,2,Low_to_High,22,post_switch,1,1,1,1,0,0,0,1,0,0,0.5,0.5,1,5,5
P10_C2,10,2,Low_to_High,23,post_switch,1,1,1,0,1,0,0,0,1,0,0.5,0.5,1,-5,5
P10_C2,10,2,Low_to_High,24,post_switch,1,0,0,0,1,0,0,0,0,0,0.5,0.5,7,-5,-5
P10_C2,10,2,Low_to_High,25,post_switch,0,1,0,0,0,0,1,0,0,0,0.25,0.25,1,-5,-5
P10_C2,10,2,Low_to_High,26,post_switch,0,1,1,1,0,0,1,0,0,0,0.5,0.5,1,5,5
P10_C2,10,2,Low_to_High,27,post_switch,1,1,1,1,1,0,0,0,0,0,0.5,0.5,1,5,5
P10_C2,10,2,Low_to_High,28,post_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.5,1,-5,-5
P10_C2,10,2,Low_to_High,29,post_switch,0,0,0,0,0,0,1,0,0,0,0.5,0.5,7,-5,-5
P10_C2,10,2,Low_to_High,30,post_switch,0,1,0,0,0,0,1,0,0,0,0.5,0.5,1,-5,-5
P11_C1,11,1,High_to_Low,1,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,2,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,3,pre_switch,1,1,1,0,1,0,0,0,1,0,0.75,0.75,1,-5,5
P11_C1,11,1,High_to_Low,4,pre_switch,0,0,0,0,0,0,1,0,0,0,0.75,0.75,7,-5,-5
P11_C1,11,1,High_to_Low,5,pre_switch,1,1,1,1,0,0,0,1,0,0,0.75,0.75,1,5,5
