G,loglik,npm,BIC,SABIC,Entropy,Conv
1,-31.294935538839955,5,85.61572200762038,69.82446599236154,NA,1
2,-21.45228643784309,9,84.351104549579,55.926843722113105,0.7182059979292865,1
3,-19.078013284454624,13,98.02323898675445,56.96597334708147,0.5504470122746112,1
4,-13.322628445976612,17,104.93315005375078,51.242879601870754,NA,1
5,-10.984715465761477,21,118.67800483727288,52.354729573185786,NA,1
6,-9.436800249601303,25,134.0028551489049,55.046575072610736,NA,1
