G,loglik,npm,BIC,SABIC,Conv
1,-199.0874290364879,8,435.01621956088053,409.7502099364664,1
2,-183.16507003177227,13,426.19735248138977,385.14008684171677,1
3,-177.7806241804052,18,438.45431170859604,381.60579005366424,1
4,-174.4214216679727,23,454.76175761367153,382.1219799434809,1
5,-170.68221952532804,28,470.30920425832267,381.87817057287316,1
