G,loglik,npm,BIC,SABIC,Entropy,Conv
1,-226.4852285331645,5,475.9963079962695,460.2050519810106,NA,1
2,-163.83345608168668,9,369.1134438372662,340.6891830098003,0.8705631176298297,1
3,-162.39191282872682,13,384.65103807529886,343.59377243562585,NA,1
4,-157.98107769188942,17,394.2500485455764,340.55977809369637,NA,1
5,-156.0864753228119,21,408.88152455137373,342.5582492872866,NA,1
6,-152.76371016524632,25,420.6566749801949,341.70039490390076,NA,1
