session_id,sid,class,prob1,prob2,condition
P01_C1,1,1,0.9992333575101889,7.666424898110785e-4,1
P01_C2,2,2,0.01583022677982255,0.9841697732201775,2
P02_C1,3,1,0.9971574253567521,0.002842574643247788,1
P02_C2,4,2,0.004616524188751357,0.9953834758112488,2
P03_C1,5,1,0.9999907313660203,9.268633979687331e-6,1
P03_C2,6,1,0.7138235376554831,0.28617646234451694,2
P04_C1,7,1,0.9990685635416602,9.314364583399355e-4,1
P04_C2,8,2,0.04687663625351404,0.953123363746486,2
P05_C1,9,1,0.9996089030220829,3.910969779170802e-4,1
P05_C2,10,2,4.3582494130890546e-4,0.999564175058691,2
P06_C1,11,1,0.9997987854477959,2.0121455220407515e-4,1
P06_C2,12,2,7.618584228302193e-4,0.9992381415771697,2
P07_C1,13,1,0.9999991556051572,8.443948429190276e-7,1
P07_C2,14,2,0.020222333382560534,0.9797776666174395,2
P08_C1,15,1,0.997983036965545,0.002016963034454947,1
P08_C2,16,2,0.3344925701501871,0.6655074298498129,2
P09_C1,17,1,0.9999753704203079,2.46295796921332e-5,1
P09_C2,18,2,4.1040252055873184e-4,0.9995895974794412,2
P10_C1,19,1,0.9376621792922402,0.062337820707759874,1
P10_C2,20,2,6.577309031533901e-5,0.9999342269096847,2
P11_C1,21,1,0.9309777868813274,0.0690222131186727,1
P11_C2,22,2,0.031179256334962286,0.9688207436650378,2
P12_C1,23,1,0.9543644098388853,0.04563559016111473,1
P12_C2,24,2,0.07491674672097956,0.9250832532790205,2
P13_C1,25,1,0.9979539072408807,0.0020460927591191952,1
P13_C2,26,2,0.0012976891438232984,0.9987023108561767,2
P14_C1,27,1,0.9994484904161961,5.515095838038537e-4,1
P14_C2,28,2,0.008090199110986612,0.9919098008890134,2
P15_C1,29,1,0.9981486762098644,0.0018513237901355958,1
P15_C2,30,2,0.004286358082920343,0.9957136419170797,2
P16_C1,31,1,0.9989762772956046,0.0010237227043955431,1
P16_C2,32,2,6.283136212802612e-5,0.999937168637872,2
P17_C1,33,1,0.999092202499127,9.077975008729338e-4,1
P17_C2,34,2,6.634312637458057e-7,0.9999993365687363,2
P18_C1,35,1,0.7037419350526483,0.2962580649473518,1
P18_C2,36,2,0.010776620738903859,0.9892233792610962,2
P19_C1,37,1,0.9962068599644944,0.0037931400355055785,1
P19_C2,38,2,0.14117227472124347,0.8588277252787565,2
P20_C1,39,1,0.998679317874617,0.0013206821253830302,1
P20_C2,40,2,0.2588586652715362,0.7411413347284638,2
P21_C1,41,1,0.9998900640722177,1.0993592778219598e-4,1
P21_C2,42,2,0.0015992323144278884,0.9984007676855721,2
P22_C1,43,1,0.9840712432359353,0.015928756764064623,1
P22_C2,44,2,0.1493384776099812,0.8506615223900188,2
P23_C1,45,1,0.999378009549277,6.219904507228786e-4,1
P23_C2,46,2,1.7128398832428937e-4,0.9998287160116756,2
P24_C1,47,1,0.9998720645106516,1.279354893483844e-4,1
P24_C2,48,2,3.787560129837924e-4,0.9996212439870162,2
P25_C1,49,1,0.8963801730196532,0.10361982698034676,1
P25_C2,50,2,0.007038170412542041,0.9929618295874579,2
P26_C1,51,1,0.9999297093406257,7.029065937419493e-5,1
P26_C2,52,2,1.4886814147756867e-4,0.9998511318585224,2
P27_C1,53,1,0.9996907758034907,3.0922419650925936e-4,1
P27_C2,54,2,6.755391257605169e-4,0.9993244608742395,2
P28_C1,55,1,0.96265867442731,0.037341325572689994,1
P28_C2,56,2,0.0018397093259021897,0.9981602906740978,2
P29_C1,57,1,0.9986601765762537,0.001339823423746267,1
P29_C2,58,2,6.793714778605292e-4,0.9993206285221395,2
P30_C1,59,1,0.9981853210490949,0.0018146789509051007,1
P30_C2,60,2,1.6247160491305503e-5,0.9999837528395088,2
P31_C1,61,1,0.999302512888981,6.974871110191226e-4,1
P31_C2,62,2,0.04201281163939564,0.9579871883606043,2
P32_C1,63,1,0.9999167533097787,8.324669022134676e-5,1
P32_C2,64,2,0.016794782922700823,0.9832052170772991,2
P33_C1,65,1,0.9988051653708364,0.0011948346291636,1
P33_C2,66,2,0.008710801146679773,0.9912891988533202,2
P34_C1,67,1,0.9998158990339848,1.841009660152528e-4,1
P34_C2,68,2,9.718374162114687e-4,0.9990281625837885,2
P35_C1,69,1,0.9876121291006035,0.012387870899396476,1
P35_C2,70,2,4.187019058206123e-4,0.9995812980941794,2
P36_C1,71,1,0.9999373219257256,6.267807427438132e-5,1
P36_C2,72,2,1.2589730718396415e-5,0.9999874102692815,2
P37_C1,73,2,0.3664283719348609,0.6335716280651391,1
P37_C2,74,1,0.9852807335971348,0.014719266402865224,2
P38_C1,75,1,0.9999770105834088,2.2989416591192162e-5,1
P38_C2,76,2,1.2641905332452523e-4,0.9998735809466756,2
P39_C1,77,1,0.999233388437837,7.666115621629055e-4,1
P39_C2,78,1,0.6492722084139794,0.3507277915860206,2
P40_C1,79,1,0.9577326924575754,0.042267307542424526,1
P40_C2,80,2,0.29795037069335856,0.7020496293066415,2
P41_C1,81,1,0.9784177402793532,0.021582259720646757,1
P41_C2,82,2,4.771778036315485e-7,0.9999995228221964,2
P42_C1,83,1,0.9995525507551937,4.474492448063341e-4,1
P42_C2,84,2,3.740380312528101e-5,0.9999625961968747,2
P43_C1,85,1,0.9958556493588673,0.004144350641132755,1
P43_C2,86,2,3.618356645998733e-4,0.9996381643354001,2
P44_C1,87,1,0.9999150692873441,8.493071265589831e-5,1
P44_C2,88,2,0.0038237313401032,0.996176268659897,2
P45_C1,89,1,0.9998648985237498,1.3510147625022992e-4,1
P45_C2,90,2,2.8360717132625907e-4,0.99971639282867375,2
P46_C1,91,1,0.9981751116709506,0.0018248883290493576,1
P46_C2,92,2,0.002982530304686111,0.9970174696953139,2
P47_C1,93,1,0.9906964294509643,0.009303570549035767,1
P47_C2,94,2,1.9598593628155047e-4,0.9998040140637184,2
P48_C1,95,1,0.9994259160957962,5.740839042037178e-4,1
P48_C2,96,2,0.00594946938360277,0.9940505306163973,2
P49_C1,97,1,0.998073078287525,0.0019269217124750562,1
P49_C2,98,2,0.12248896362839731,0.8775110363716027,2
P50_C1,99,1,0.9999873696904513,1.2630309548777369e-5,1
P50_C2,100,2,2.9571448925427013e-5,0.9999704285510745,2
