group,rair_x,rair_n,rsr_x,rsr_n,rair,rsr,rair_minus_rsr,diff_ci_low,diff_ci_high,p_normal_approx
accuracy,156,362,68,126,0.430939226519337,0.5396825396825397,-0.10874331316320263,-0.20962262924548625,-0.007863997080918991,0.03461867502657646
analogy,153,428,54,116,0.3574766355140187,0.46551724137931033,-0.10804060586529163,-0.20953708151872982,-0.006544130211853433,0.03694477644525329
system,136,328,54,105,0.4146341463414634,0.5142857142857142,-0.09965156794425084,-0.20911342505284988,0.009810289164348202,0.07436857805846038
