"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Document Type","Publication Stage","Open Access","Source","EID"
"Song, D.","Song, Donggil (55945454700)","55945454700","How Learners’ Trust Changes in Generative AI over a Semester of Undergraduate Courses","2025","International Journal of Artificial Intelligence in Education","35","3","","1445","1464","3","10.1007/s40593-024-00446-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211319786&doi=10.1007%2Fs40593-024-00446-6&partnerID=40&md5=3af2e4d7f6192fe9afeb8b534d7bade6","Artificial intelligence (AI) applications, including machine learning (ML), have received attention in education, and generative AI-powered chatbots have been adopted in diverse educational settings worldwide. However, the actual use of and perception regarding generative AI chatbots by learners have been under-investigated. To better prepare for the future of education, it is essential to gain a more accurate understanding of learners’ perceptions, particularly their trust in AI technology because trust in the technology could be closely linked to the successful adoption of these tools in educational settings. To contribute to this understanding, we examined undergraduate students’ trust in generative AI chatbots used in their courses and explored the relationship between their trust levels and learning performance. Additionally, we explored the potential association between learners’ trust levels, self-regulated learning, and computational thinking skills. This research employed an exploratory study design with a regular course setting. We found that learners’ trust levels were not correlated with their computational thinking, self-regulated learning, or learning performance. Furthermore, these constructs (i.e., self-regulated learning, computational thinking, and learning performance) did not significantly predict learners’ trust in AI. However, there was a notable difference between high and low performers concerning changes in trust over time. Trust levels among low performers exhibited a significant change over the semester, whereas those of high performers remained relatively stable. The study suggests that expectations regarding trusting generative AI technology can be influenced by trusting intention through performance. © International Artificial Intelligence in Education Society 2024.","AI-powered technology; Generative AI; Human-AI interaction; Trust in AI","Adversarial machine learning; Curricula; Federated learning; Generative adversarial networks; Self-supervised learning; Students; Artificial intelligence-powered technology; Chatbots; Computational thinkings; Educational settings; Generative artificial intelligence; Human-artificial intelligence interaction; Learning performance; Self-regulated learning; Trust in artificial intelligence; Trust level; Contrastive Learning","","Article","Final","","Scopus","2-s2.0-85211319786"
"Viberg, O.; Cukurova, M.; Feldman-Maggor, Y.; Alexandron, G.; Shirai, S.; Kanemune, S.; Wasson, B.; Tømte, C.; Spikol, D.; Milrad, M.; Coelho, R.; Kizilcec, R.F.","Viberg, Olga (55816643800); Cukurova, Mutlu (56904209900); Feldman-Maggor, Yael (57193759626); Alexandron, Giora (8945106100); Shirai, Shizuka (56319504200); Kanemune, Susumu (15520432400); Wasson, Barbara (6602121928); Tømte, Cathrine Edelhard (36993561500); Spikol, Daniel (24345016200); Milrad, Marcelo F. (6507974606); Coelho, Raquel Cristina Lopes Assis (57210694936); Kizilcec, René F. (55657281000)","55816643800; 56904209900; 57193759626; 8945106100; 56319504200; 15520432400; 6602121928; 36993561500; 24345016200; 6507974606; 57210694936; 55657281000","What Explains Teachers’ Trust in AI in Education Across Six Countries?","2025","International Journal of Artificial Intelligence in Education","35","3","","1288","1316","49","10.1007/s40593-024-00433-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207275226&doi=10.1007%2Fs40593-024-00433-x&partnerID=40&md5=6eed0414ac716ab754f73a4ff8d3afce","With growing expectations to use AI-based educational technology (AI-EdTech) to improve students’ learning outcomes and enrich teaching practice, teachers play a central role in the adoption of AI-EdTech in classrooms. Teachers’ willingness to accept vulnerability by integrating technology into their everyday teaching practice, that is, their trust in AI-EdTech, will depend on how much they expect it to benefit them versus how many concerns it raises for them. In this study, we surveyed 508 K-12 teachers across six countries on four continents to understand which teacher characteristics shape teachers’ trust in AI-EdTech, and its proposed antecedents, perceived benefits and concerns about AI-EdTech. We examined a comprehensive set of characteristics including demographic and professional characteristics (age, gender, subject, years of experience, etc.), cultural values (Hofstede’s cultural dimensions), geographic locations (Brazil, Israel, Japan, Norway, Sweden, USA), and psychological factors (self-efficacy and understanding). Using multiple regression analysis, we found that teachers with higher AI-EdTech self-efficacy and AI understanding perceive more benefits, fewer concerns, and report more trust in AI-EdTech. We also found geographic and cultural differences in teachers’ trust in AI-EdTech, but no demographic differences emerged based on their age, gender, or level of education. The findings provide a comprehensive, international account of factors associated with teachers’ trust in AI-EdTech. Efforts to raise teachers’ understanding of, and trust in AI-EdTech, while considering their cultural values are encouraged to support its adoption in K-12 education. © The Author(s) 2024.","Artificial intelligence; Culture; Education; Survey; Teachers; Trust","Contrastive Learning; Economic and social effects; Educational technology; Teaching; Cultural value; Culture; Integrating technology; K-12 teachers; Self efficacy; Student learning outcomes; Teachers'; Teaching practices; Trust; Willingness to accept; Regression analysis","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207275226"
"Marrone, R.; Zamecnik, A.; Joksimović, S.; Johnson, J.; De Laat, M.","Marrone, Rebecca (57203360344); Zamecnik, Andrew (57215929477); Joksimović, Srećko (55837206800); Johnson, Jarrod (59312117700); De Laat, Maarten F. (8218596300)","57203360344; 57215929477; 55837206800; 59312117700; 8218596300","Understanding Student Perceptions of Artificial Intelligence as a Teammate","2025","Technology, Knowledge and Learning","30","3","","1847","1869","14","10.1007/s10758-024-09780-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203016531&doi=10.1007%2Fs10758-024-09780-z&partnerID=40&md5=e68f72213052910d31c26836c5ccfde7","This article examines students' opinions regarding the use of artificial intelligence (AI) as a teammate in solving complex problems. The overarching goal of the study is to explore the effectiveness of AI as a collaborative partner in educational settings. In the study, 15 groups of grade 9 students (59 students total) were assigned a challenging problem related to space exploration and were given access to an AI teammate. Following the task, the students participated in focus group discussions to gain insight into their perspectives on collaborating with AI. These discussions were analysed using thematic analysis to identify key themes. Epistemic Network Analysis was then used to quantify and visualise this data. The results suggest that students perceive AI with regard to two main themes: Trust in AI and the Capability of AI. The study's outcomes shed light on how students perceive AI and provide practical recommendations for educators to effectively incorporate AI into classrooms. Specifically, the recommendations include strategies for building student trust in AI systems through Explainable AI processes. This, in turn, encourages collaboration between humans and AI and promotes the development of AI literacy among students. The findings of this study are a valuable addition to the ongoing discussion on AI in education and offer actionable insights for educators to navigate the integration of AI technologies in support of student learning and growth. The scientific contribution of this study lies in its empirical investigation of student-AI interaction, providing evidence-based insights for enhancing educational practices. © The Author(s) 2024.","Artificial intelligence in education; Complex problem solving; Human-AI teaming; Student perceptions of AI","Space research; Artificial intelligence in education; Complex problem solving; Complex problems; Educational settings; Focus groups; Group discussions; Human-artificial intelligence teaming; Space explorations; Student perception of artificial intelligence; Student perceptions","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203016531"
"Martínez, E.","Martínez, Eric (57313840500)","57313840500","Re-evaluating GPT-4’s bar exam performance","2025","Artificial Intelligence and Law","33","3","","581","604","22","10.1007/s10506-024-09396-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188989228&doi=10.1007%2Fs10506-024-09396-9&partnerID=40&md5=1d57abbe2b656575aabe2d58e6072f09","Perhaps the most widely touted of GPT-4’s at-launch, zero-shot capabilities has been its reported 90th-percentile performance on the Uniform Bar Exam. This paper begins by investigating the methodological challenges in documenting and verifying the 90th-percentile claim, presenting four sets of findings that indicate that OpenAI’s estimates of GPT-4’s UBE percentile are overinflated. First, although GPT-4’s UBE score nears the 90th percentile when examining approximate conversions from February administrations of the Illinois Bar Exam, these estimates are heavily skewed towards repeat test-takers who failed the July administration and score significantly lower than the general test-taking population. Second, data from a recent July administration of the same exam suggests GPT-4’s overall UBE percentile was below the 69th percentile, and ∼48th percentile on essays. Third, examining official NCBE data and using several conservative statistical assumptions, GPT-4’s performance against first-time test takers is estimated to be ∼62nd percentile, including ∼42nd percentile on essays. Fourth, when examining only those who passed the exam (i.e. licensed or license-pending attorneys), GPT-4’s performance is estimated to drop to ∼48th percentile overall, and ∼15th percentile on essays. In addition to investigating the validity of the percentile claim, the paper also investigates the validity of GPT-4’s reported scaled UBE score of 298. The paper successfully replicates the MBE score, but highlights several methodological issues in the grading of the MPT + MEE components of the exam, which call into question the validity of the reported essay score. Finally, the paper investigates the effect of different hyperparameter combinations on GPT-4’s MBE performance, finding no significant effect of adjusting temperature settings, and a significant effect of few-shot chain-of-thought prompting over basic zero-shot prompting. Taken together, these findings carry timely insights for the desirability and feasibility of outsourcing legally relevant tasks to AI models, as well as for the importance for AI developers to implement rigorous and transparent capabilities evaluations to help secure safe and trustworthy AI. © The Author(s) 2024.","Artificial intelligence; Artificial intelligence and law; Law and technology; Legal analytics; Legal NLP; Legal profession; Machine learning; Natural language processing; NLP","Grading; Learning algorithms; Machine learning; Artificial intelligence and laws; Language processing; Law and technology; Legal analytic; Legal NLP; Legal profession; Machine-learning; Natural language processing; Natural languages; Performance; Natural language processing systems","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188989228"
"Limna, P.; Shaengchart, Y.","Limna, Pongsakorn (58315906900); Shaengchart, Yarnaphat (57970523600)","58315906900; 57970523600","Generative AI as an English Writing Aid: Thai University Students’ Perceptions and Experiences with ChatGPT and Gemini","2025","Suranaree Journal of Social Science","19","3","e279466","","","0","10.55766/sjss279466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029957467&doi=10.55766%2Fsjss279466&partnerID=40&md5=fa5a38ee9d95737563ad438fa3b3948f","Background and Objectives: The emergence of AI-driven writing assistants has sparked discussions on the potential benefits and drawbacks of these tools in higher education. While AI tools can enhance writing skills, provide instant feedback, and facilitate brainstorming, concerns persist regarding academic integrity, ethical considerations, and over-reliance on AI. This study aimed to explore Thai university students' perceptions and experiences with generative AI tools—ChatGPT and Gemini—within the context of academic writing in English. By examining these students' subjective experiences, this research also sought to better understand the benefits and risks associated with AI-driven writing assistants in higher education, particularly in Thailand’s unique academic environment. Methodology: A qualitative approach was employed using semi-structured interviews with 12 Thai university students selected through purposive sampling. The study applied thematic analysis to identify key patterns and insights from the participants' responses. NVivo software was used for data organization. The study was grounded in the constructivist paradigm, emphasizing students' subjective experiences and contextual understanding of AI usage in academic writing. Main Results: Thai university students view ChatGPT and Gemini as valuable aids for academic writing, particularly in brainstorming, structuring ideas, and improving grammar. AI-assisted feedback boosted confidence and writing quality, but concerns about over-reliance, academic integrity, and ethical considerations were prominent. Students employed strategies like paraphrasing and cross-referencing AI-generated content to ensure originality. While AI enhanced language learning through real-time feedback, some feared it might lead to superficial learning and reduced engagement in skill development. The findings underscore the need for clear academic guidelines to help students balance AI use with independent learning. Discussions: This study highlights the dual nature of AI integration in academic writing—offering both significant advantages and potential risks. Students demonstrated a pragmatic approach, leveraging AI for efficiency while maintaining an awareness of ethical considerations. Their cautious engagement suggests that AI is seen as a supplementary tool rather than a complete replacement for traditional writing and learning methods. The findings align with broader discussions on responsible AI use in education, emphasizing the importance of balanced and mindful engagement with AI technologies. The study also underscores the importance of institutions developing clear guidelines on AI usage, as well as offering digital literacy programs that can help students navigate the ethical and practical aspects of AI integration. These efforts could ensure that AI tools enhance the learning experience without compromising academic integrity or the development of essential writing skills. Conclusions: This study provides valuable empirical insights into how Thai university students perceive and utilize AI tools, particularly ChatGPT and Gemini, in academic writing. AI tools were found to significantly support writing quality and language development, yet concerns over over-reliance, ethics, and integrity remain. The findings stress the necessity of institutional policies and structured guidance to foster responsible AI use. Future research should include cross-cultural comparisons to examine variations in AI adoption within higher education. Longitudinal studies could assess AI’s long-term impact on writing proficiency, and targeted interventions should be developed to promote balanced and ethical AI integration in academic contexts. © 2025, Suranaree University of Technology. All rights reserved.","Academic Writing; ChatGPT; Gemini; Generative AI; Thai University Students","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029957467"
"Ling, Y.; Jan, J.M.","Ling, Yingxue (60121019200); Jan, Jariah Mohd (57415184500)","60121019200; 57415184500","Voices from the Flip: Teacher Perspectives on Integrating AI Chatbots in Flipped English Classrooms","2025","Education Sciences","15","9","1219","","","0","10.3390/educsci15091219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017475542&doi=10.3390%2Feducsci15091219&partnerID=40&md5=30e89652ff3a75bf30c1af1a1844848a","Drawing on the Technological Pedagogical Content Knowledge (TPACK) framework, this qualitative case study investigates how university English teachers integrate AI chatbots into flipped classrooms. Findings reveal that teachers employed chatbots across multiple pedagogical functions—including vocabulary support, grammar explanation, dialogue simulation, and creative content generation—embedded purposefully into both pre-class preparation and in-class collaboration. Rather than passively adopting these tools, teachers strategically positioned chatbots to enhance student autonomy, confidence, and interaction, while tailoring their use to suit specific flipped classroom designs. Meanwhile, teachers acknowledged the risks of over-reliance on AI chatbot content and the disruptions caused by vague or incorrect responses. They responded by developing structured guidance and reforming their roles as facilitators rather than content deliverers. This study contributes new insights into teacher agency in AI-mediated language education, highlighting the complex pedagogical negotiations required to meaningfully integrate emerging technologies into flipped learning environments. © 2025 by the authors.","AI chatbots; English language teaching; flipped classroom; teacher agency; TPACK framework","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017475542"
"Annuš, N.","Annuš, Norbert (57863444900)","57863444900","Investigation of Generative AI Adoption in IT-Focused Vocational Secondary School Programming Education","2025","Education Sciences","15","9","1152","","","0","10.3390/educsci15091152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017422094&doi=10.3390%2Feducsci15091152&partnerID=40&md5=3172dc43f7a2a20f44dcc78da33dacd9","The application of artificial intelligence in education, particularly in learning programming, is gaining increasing significance. However, research on secondary school students specializing in IT at an early stage has received relatively little attention in this field. The aim of this study is to assess how vocational secondary school IT students utilize Generative artificial intelligence in learning programming. The study employed a survey-based methodology, where students with varying levels of knowledge were surveyed to understand their AI usage patterns. The sample consisted of students from vocational IT schools, and data were analyzed using descriptive statistics and independent samples t-tests. The results indicate that students with different levels of knowledge use AI tools differently, with ChatGPT being the most popular tool. The study further highlights that AI usage brings significant benefits, such as providing a personalized learning experience and enabling quick error correction. However, excessive reliance on AI tools may hinder students from acquiring fundamental programming skills. The findings support the idea that while AI can effectively complement teachers’ explanations, overdependence on it can be risky, potentially reducing students’ creativity and problem-solving abilities. The study emphasizes the crucial role of educators in teaching the responsible and ethical use of artificial intelligence. The results of this research offer new perspectives on the effective integration of Generative artificial intelligence into vocational secondary school programming education and suggest further studies to compare its applications at the university level. However, the study acknowledges certain limitations, such as the potential bias of self-reported data, which may affect the generalizability of the results. Unlike other studies, the age groups we surveyed, and the cohorts formed from them are nearly evenly distributed, making our sample representative of the region in question. © 2025 by the author.","artificial intelligence (AI); ChatGPT; Generative AI; IT vocational school; learning programming","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017422094"
"Aquilino, L.; Di Dio, C.; Manzi, F.; Massaro, D.; Bisconti, P.; Marchetti, A.","Aquilino, Letizia (58889958700); Di Dio, Cinzia (14069963000); Manzi, Federico (57201195835); Massaro, Davide (36495047000); Bisconti, Piercosma (57205669543); Marchetti, Antonella (36927793400)","58889958700; 14069963000; 57201195835; 36495047000; 57205669543; 36927793400","Decoding Trust in Artificial Intelligence: A Systematic Review of Quantitative Measures and Related Variables","2025","Informatics","12","3","70","","","0","10.3390/informatics12030070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017046872&doi=10.3390%2Finformatics12030070&partnerID=40&md5=a38a0eeffbdd5c1c8f6ac558bd54645a","As artificial intelligence (AI) becomes ubiquitous across various fields, understanding people’s acceptance and trust in AI systems becomes essential. This review aims to identify quantitative measures used to measure trust in AI and the associated studied elements. Following the PRISMA guidelines, three databases were consulted, selecting articles published before December 2023. Ultimately, 45 articles out of 1283 were selected. Articles were included if they were peer-reviewed journal publications in English reporting empirical studies measuring trust in AI systems with multi-item questionnaires. Studies were analyzed through the lenses of cognitive and affective trust. We investigated trust definitions, questionnaires employed, types of AI systems, and trust-related constructs. Results reveal diverse trust conceptualizations and measurements. In addition, the studies covered a wide range of AI system types, including virtual assistants, content detection tools, chatbots, medical AI, robots, and educational AI. Overall, the studies show compatibility of cognitive or affective trust focus between theorization, items, experimental stimuli, and level of anthropomorphism of the systems. The review underlines the need to adapt measurement of trust in the specific characteristics of human–AI interaction, accounting for both the cognitive and affective sides. Trust definitions and measurement could be chosen depending also on the level of anthropomorphism of the systems and the context of application. © 2025 by the authors.","artificial intelligence; machine learning; perceived trustworthiness; trust","","","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017046872"
"Silor, A.C.; Silor, F.S.C.","Silor, Adelfa C. (58739599300); Silor, Faith Stephanny C. (60110888700)","58739599300; 60110888700","Boosting Reading Comprehension Through AI-Based Learning Tools","2025","International Journal of Learning, Teaching and Educational Research","24","9","","61","79","3","10.26803/ijlter.24.9.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016814610&doi=10.26803%2Fijlter.24.9.4&partnerID=40&md5=d56789916e051845ba1f6ff24b75372c","This study explores the effectiveness of Artificial Intelligence (AI)-based tools in enhancing reading comprehension among learners with varying proficiency levels. Utilizing a mixed-methods approach, the research combined quantitative pre-and post-tests with qualitative interviews and learner feedback. Students in the experimental group, who used adaptive AI-supported platforms, showed significantly greater improvements in comprehension scores compared to a control group. The most notable gains were observed among students with lower initial reading proficiency. High-performing learners, however, exhibited slightly reduced progress when relying extensively on AI-generated summaries, indicating potential drawbacks for advanced readers. The integration of biometric-enhanced AI tools further supported emotional readiness and reduced cognitive load. Qualitative data revealed increased motivation and engagement, with students describing the AI experience as interactive and personalized. Despite these benefits, however, concerns were raised about over-reliance on AI, particularly its impact on deep comprehension and critical thinking. The study concludes that AI-based reading tools can effectively support comprehension development, especially for struggling readers, but recommends their integration within a blended learning framework that includes teacher facilitation, ethical guidelines, and strategies for fostering active, critical engagement with texts. © Authors.","adaptive learning; biometric feedback; educational technology; intelligent tutoring systems; literacy instruction","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016814610"
"Eusebio, E.J.G.; Baldera, P.R.; Patiam, A.M.C.; Villanueva, E.F.; Gaa, N.A.; Solis, A.M.F.; Soriano, M.L.C.; Ribon, A.L.","Eusebio, Ellaine Joy Guyo (59505396800); Baldera, Philip R. (58167930500); Patiam, Aljay Marc C. (59832043200); Villanueva, Emelyn F. (60109712500); Gaa, Norilyn A. (60109353300); Solis, Anna Marie F. (60109592300); Soriano, Ma Loresa C. (60108864200); Ribon, Alvin L. (60109477100)","59505396800; 58167930500; 59832043200; 60109712500; 60109353300; 60109592300; 60108864200; 60109477100","AI in the Classroom: A Systematic Review of Barriers to Educator Acceptance","2025","International Journal of Learning, Teaching and Educational Research","24","9","","126","147","0","10.26803/ijlter.24.9.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016751198&doi=10.26803%2Fijlter.24.9.7&partnerID=40&md5=0d3915aa014c7675b7dfb33f4b3218a2","This study investigates the barriers to educator acceptance of Artificial Intelligence (AI) technologies in education through a systematic review guided by the PRISMA 2020 framework. With educators occupying a pivotal role in the classroom as facilitators of learning and mediators of technology use, their acceptance and integration of AI tools are critical to the success of educational innovation. Educators' readiness and resistance to AI are examined through the synthesis of empirical findings from peer-reviewed studies published between 2020 and 2025. From an initial 404 records identified, 310 remained after duplicate removal. Following title and abstract screening, 33 records were retained. After a full-text eligibility review, 14 studies were included in the qualitative synthesis, of which 10 met the criteria for final analysis. The results highlight that demographic factors such as age, gender, and digital literacy significantly affect educators' readiness to use AI. Common barriers include insufficient training, infrastructure limitations, ethical concerns, anxiety, and perceived misalignment between AI tools and pedagogical goals. Barriers vary by regional and institutional context. Developing countries face technological and resource-based challenges, while developed nations encounter pedagogical and ethical issues. The study compares several theoretical models, including the Technology Acceptance Model (TAM) and the Unified Theory of Acceptance and Use of Technology (UTAUT), to explain variations in AI adoption, further integrating perspectives on emotional response, professional identity, and institutional culture. This review provides critical insights for educational policymakers, leaders, and technology developers to design inclusive, ethically sound, and pedagogically aligned strategies for AI integration in classrooms. © Authors.","Artificial Intelligence; Educational Technology Integration; Educator Acceptance; PRISMA","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016751198"
"Omirali, A.; Kozhakhmet, K.; Zhumaliyeva, R.","Omirali, Aikumis (59330208700); Kozhakhmet, Kanat T. (54897934000); Zhumaliyeva, Rakhima (57215220197)","59330208700; 54897934000; 57215220197","Digital Trust in Transition: Student Perceptions of AI-Enhanced Learning for Sustainable Educational Futures","2025","Sustainability (Switzerland)","17","17","7567","","","3","10.3390/su17177567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016199292&doi=10.3390%2Fsu17177567&partnerID=40&md5=a5460cee799dbe87065838c5102f4d81","In the context of the rapid digitalization of higher education, proactive artificial intelligence (AI) agents embedded within multi-agent systems (MAS) offer new opportunities for personalized learning, improved quality of education, and alignment with sustainable development goals. This study aims to analyze how such AI solutions are perceived by students at Narxoz University (Kazakhstan) prior to their practical implementation. The research focuses on four key aspects: the level of student trust in AI agents, perceived educational value, concerns related to privacy and autonomy, and individual readiness to use MAS tools. The article also explores how these solutions align with the Sustainable Development Goals—specifically SDG 4 (“Quality Education”) and SDG 8 (“Decent Work and Economic Growth”)—through the development of digital competencies and more equitable access to education. Methodologically, the study combines a bibliometric literature analysis, a theoretical review of pedagogical and technological MAS concepts, and a quantitative survey (n = 150) of students. The results reveal a high level of student interest in AI agents and a general readiness to use them, although this is tempered by moderate trust and significant ethical concerns. The findings suggest that the successful integration of AI into educational environments requires a strategic approach from university leadership, including change management, trust-building, and staff development. Thus, MAS technologies are viewed not only as technical innovations but also as managerial advancements that contribute to the creation of a sustainable, human-centered digital pedagogy. © 2025 by the authors.","artificial intelligence; digital pedagogy; educational technology; higher education; multi-agent systems; proactive AI agents; student perception; Sustainable Development Goal 4 (SDG 4); trust in AI","artificial intelligence; higher education; strategic approach; sustainable development; Sustainable Development Goal; Kazakhstan","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016199292"
"Behm-Morawitz, E.; Warner, B.R.; Riles, J.M.; Josey, C.; Morawitz, R.","Behm-Morawitz, Elizabeth (8592886800); Warner, Benjamin R. (36989692700); Riles, Julius Matthew (55951407200); Josey, Christopher S. (35302151500); Morawitz, Reagan (60059617000)","8592886800; 36989692700; 55951407200; 35302151500; 60059617000","AI for Combatting Mis/Disinformation: the Roles of Solipsistic Introjection, Anthropomorphism, and Source Credibility","2025","Journal of Media Psychology","37","5","","307","315","1","10.1027/1864-1105/a000480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013963681&doi=10.1027%2F1864-1105%2Fa000480&partnerID=40&md5=45ebed62fe1c9e3b118eaaf9096448b7","Artificial Intelligence (AI) poses challenges and opportunities in combating mis/disinformation that arises in today s digital media landscape. Our research advances understanding of how psychological processing influences perceptions and effects of AI-generated messages on message acceptance and credibility. Specifically, the computers are social actors (CASA) paradigm, anthropomorphism, and solipsistic introjection are employed to examine the effects of the degree of AI involvement in information delivery when seeking clarification on a politicized issue - ranging from none (e.g., news article), to partial (e.g., AI-generated summaries in Google search results), to full reliance on AI (e.g., responses from ChatGPT). Findings from our online experiment with N = 551 US adults indicate that moderate and highly AI-powered sources are deemed more credible than non-AI human-Authored sources, however, this effect is weakened by diminished perceptions of anthropomorphizing of AI. Further, solipsistic introjection is negatively related to message acceptance, indicating this intrapsychic processing may decrease the persuasiveness of messages that combat mis/disinformation. Findings are discussed in terms of theoretical and practical implications. © 2025 Hogrefe Publishing.","anthropomorphism; artificial intelligence; CASA; misinformation; solipsistic introjection; source credibility","","","Article","Final","","Scopus","2-s2.0-105013963681"
"Hou, C.; Zhu, G.; Sudarshan, V.","Hou, Chenyu (58344343700); Zhu, Gaoxia (57203974368); Sudarshan, Vidya K. (56458593000)","58344343700; 57203974368; 56458593000","The role of critical thinking on undergraduates' reliance behaviours on generative AI in problem-solving","2025","British Journal of Educational Technology","56","5","","1919","1941","7","10.1111/bjet.13613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012114301&doi=10.1111%2Fbjet.13613&partnerID=40&md5=382f69eecc91507541ed89160328d3e1","There is a heightened concern over undergraduate students being over-reliant on Generative AI and using it recklessly. Reliance behaviours describe the frequencies and ways that people use AI tools for tasks such as problem-solving, influenced by individual factors such as trust and AI literacy. One way to conceptualise reliance is that reliance behaviours are affected by the extent to which learners consciously evaluate the relative performance of AI and humans, suggesting the potential impacts of critical thinking on reliance. This study, thus, empirically investigates the relationship between critical thinking and reliance behaviours. Critical thinking includes disposition and skills. However, limited empirical studies have investigated how critical thinking influences learners' reliance behaviours when solving problems with Generative AI. Hence, the current study conducted path analyses to investigate how critical thinking is associated with reliance behaviours and how it mediates the effect of individual factors on reliance behaviours. We collected 808 survey responses on critical thinking disposition and skills, reliance behaviours (a self-developed and validated scale, including reflective use, cautious use, thoughtless use, and collaborative use), trust towards AI, and AI literacy from undergraduates after a problem-solving task with Generative AI. The results indicate that (1) critical thinking is positively associated with the collaborative, reflective, and cautious use of Generative AI, suggesting that these three types of use of Generative AI could be considered desirable behaviours in human–AI problem-solving; (2) trust positively predicts thoughtless use; (3) critical thinking can offset the influence of trust on collaborative, reflective and cautious use; and (4) critical thinking can amplify the influence of AI literacy on reflective, cautious and collaborative use. This study contributes new insights into understanding the role of critical thinking in fostering desirable reliance behaviours, including reflective, cautious and collaborative use, and provides implications for future interventions when applying Generative AI for problem-solving. Practitioner notes What is already known about this topic? Generative AI tools can potentially enhance problem-based learning (PBL) by supporting brainstorming and solution refinement. Reliance behaviours in human-AI collaboration are influenced by factors such as trust in AI and AI literacy. Strategy-graded reliance emphasizes the reasoning process leading to reliance behaviours, focusing on thoughtful engagement with AI tools, and this cognitive process can be captured by critical thinking. What this paper adds? Critical thinking is positively associated with the reflective, collaborative, and cautious use of Generative AI. Critical thinking mediates the effects of trust and AI literacy on reliance behaviours, amplifying reflective, cautious and collaborative use while mitigating the thoughtless use of Generative AI. The study introduces a nuanced understanding of reliance behaviours by applying a strategy-graded framework, emphasising cognitive engagement rather than a purely outcome-based understanding of reliance behaviours. Implications for practice and/or policy Educational interventions could consider critical thinking when integrating AI tools in problem-solving contexts. Students' trust in AI needs to be balanced with critical thinking skills to reduce overreliance and enhance thoughtful engagement with AI tools. © 2025 The Author(s). British Journal of Educational Technology published by John Wiley & Sons Ltd on behalf of British Educational Research Association.","critical thinking; generative AI; higher education; human-AI collaboration; problem solving","Behavioral research; Collaborative learning; Educational technology; Students; Critical thinking; Frequency and way; Generative AI; High educations; Human-AI collaboration; Individual factors; Potential impacts; Problem-solving; Relative performance; Undergraduate students; Problem solving","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012114301"
